,snap_date,day_of_fiscal_quarter_number,fiscal_year_number,fiscal_quarter_number,channel,bcs,cld,cmt,p,target
5446,2016-03-01,1,2017,1,C,259.08736197916664,0.0,13519.053978232267,42.164159858666665,52111.53972617626
5447,2016-03-02,2,2017,1,C,259.08736197916664,0.0,13576.3873115656,42.164159858666665,52111.53972617626
5448,2016-03-03,3,2017,1,C,237.45402864583335,0.0,13708.731547832265,42.164159858666665,52111.53972617626
5449,2016-03-04,4,2017,1,C,153.932962239584,0.0,13690.034521790534,42.164159858666665,52111.53972617626
5450,2016-03-05,5,2017,1,C,153.932962239584,0.0,13690.034521790534,42.164159858666665,52111.53972617626
5451,2016-03-06,6,2017,1,C,153.932962239584,0.0,13690.034521790534,42.164159858666665,52111.53972617626
5452,2016-03-07,7,2017,1,C,153.932962239584,10.090666666666667,13701.213702995201,42.164159858666665,52111.53972617626
5453,2016-03-08,8,2017,1,C,153.932962239584,96.45690625,13939.4834542972,42.164159858666665,52111.53972617626
5454,2016-03-09,9,2017,1,C,153.932962239584,117.15023958333333,13942.750120963867,42.164159858666665,52111.53972617626
5455,2016-03-10,10,2017,1,C,287.26629557291733,216.22520052083334,14378.892374870135,42.164159858666665,52111.53972617626
5456,2016-03-11,11,2017,1,C,282.59962890625064,236.1878671875,14258.892374870135,38.057493192,52111.53972617626
5457,2016-03-12,12,2017,1,C,282.59962890625064,236.1878671875,14258.892374870135,38.057493192,52111.53972617626
5458,2016-03-13,13,2017,1,C,282.59962890625064,257.7694349715,14258.892374870135,38.057493192,52111.53972617626
5459,2016-03-14,14,2017,1,C,282.59962890625064,258.0827593248333,14258.892374870135,38.057493192,52111.53972617626
5460,2016-03-15,15,2017,1,C,282.59962890625064,288.81022595894797,14198.162312370134,38.057493192,52111.53972617626
5461,2016-03-16,16,2017,1,C,282.59962890625064,366.12486145128133,14069.791111849332,38.057493192,52111.53972617626
5462,2016-03-17,17,2017,1,C,308.036962239584,427.259354883212,14079.476445182667,204.72415985866667,52111.53972617626
5463,2016-03-18,18,2017,1,C,308.036962239584,721.8540215498787,13839.476445182667,204.72415985866667,52111.53972617626
5464,2016-03-19,19,2017,1,C,308.036962239584,721.8540215498787,13839.476445182667,204.72415985866667,52111.53972617626
5465,2016-03-20,20,2017,1,C,308.036962239584,721.8540215498787,13839.476445182667,204.72415985866667,52111.53972617626
5466,2016-03-21,21,2017,1,C,328.75476171874936,721.8540215498787,13839.476445182667,204.72415985866667,52111.53972617626
5467,2016-03-22,22,2017,1,C,303.317428385416,2530.1366882165466,12398.247111849332,204.72415985866667,52111.53972617626
5468,2016-03-23,23,2017,1,C,301.41609505208265,2445.186179203213,12864.914312370161,38.057493192,52111.53972617626
5469,2016-03-24,24,2017,1,C,301.41609505208265,2412.96473649488,12864.254312370162,38.057493192,52111.53972617626
5470,2016-03-25,25,2017,1,C,301.41609505208265,2412.96473649488,12864.254312370162,38.057493192,52111.53972617626
5471,2016-03-26,26,2017,1,C,301.41609505208265,2412.96473649488,12864.254312370162,38.057493192,52111.53972617626
5472,2016-03-27,27,2017,1,C,301.41609505208265,2412.96473649488,12864.254312370162,38.057493192,52111.53972617626
5473,2016-03-28,28,2017,1,C,301.41609505208265,3316.6892181673734,12490.687041536828,38.057493192,52111.53972617626
5474,2016-03-29,29,2017,1,C,168.08276171874934,5976.850551500706,12676.873708203495,38.057493192,52111.53972617626
5475,2016-03-30,30,2017,1,C,168.08276171874934,5976.850551500706,12676.873708203495,38.057493192,52111.53972617626
5476,2016-03-31,31,2017,1,C,281.24464257812537,6481.138731628706,12676.873708203495,160.00859333333335,52111.53972617626
5477,2016-04-01,32,2017,1,C,285.24464257812537,8076.012424540494,10884.873708203493,400.00859333333335,52111.53972617626
5478,2016-04-02,33,2017,1,C,285.24464257812537,8076.012424540494,10884.873708203493,400.00859333333335,52111.53972617626
5479,2016-04-03,34,2017,1,C,285.24464257812537,5440.313416652333,10884.873708203493,400.00859333333335,52111.53972617626
5480,2016-04-04,35,2017,1,C,285.24464257812537,5827.993611168494,10751.059041536826,400.00859333333335,52111.53972617626
5481,2016-04-05,36,2017,1,C,285.24464257812537,5913.5438741764265,10751.059041536826,400.00859333333335,52111.53972617626
5482,2016-04-06,37,2017,1,C,285.24464257812537,5938.890540843093,10882.633710573293,266.67526000000004,52111.53972617626
5483,2016-04-07,38,2017,1,C,285.24464257812537,6184.00562567836,10886.090750612348,266.67526000000004,52111.53972617626
5484,2016-04-08,39,2017,1,C,209.44266861979202,6238.444292345027,10961.89272457068,266.67526000000004,52111.53972617626
5485,2016-04-09,40,2017,1,C,209.44266861979202,6238.444292345027,10961.89272457068,266.67526000000004,52111.53972617626
5486,2016-04-10,41,2017,1,C,209.44266861979202,6238.444292345027,10961.89272457068,333.34192666666667,52111.53972617626
5487,2016-04-11,42,2017,1,C,209.44266861979202,6251.116292182267,10955.983177904014,333.34192666666667,52111.53972617626
5488,2016-04-12,43,2017,1,C,209.44266861979202,6287.941528279507,11020.29784457068,333.34192666666667,52111.53972617626
5489,2016-04-13,44,2017,1,C,211.07600195312534,6638.376357644786,10937.917401637347,333.34192666666667,52111.53972617626
5490,2016-04-14,45,2017,1,C,211.07600195312534,7397.563195484534,10852.397505804014,333.34192666666667,52111.53972617626
5491,2016-04-15,46,2017,1,C,211.07600195312534,7509.82727161608,10852.397505804014,333.34192666666667,52111.53972617626
5492,2016-04-16,47,2017,1,C,211.07600195312534,7509.82727161608,10852.397505804014,333.34192666666667,52111.53972617626
5493,2016-04-17,48,2017,1,C,211.07600195312534,7509.827271616066,10852.397505804014,333.34192666666667,52111.53972617626
5494,2016-04-18,49,2017,1,C,190.35820247395867,7509.82727161608,10855.936124078613,300.00859333333335,52111.53972617626
5495,2016-04-19,50,2017,1,C,190.35820247395867,9520.8977182156,9627.368124078614,60.00859333333333,52111.53972617626
5496,2016-04-20,51,2017,1,C,190.35820247395867,9975.752718581267,9627.368124078614,60.00859333333333,52111.53972617626
5497,2016-04-21,52,2017,1,C,190.35820247395867,10187.429368971892,9539.067686578614,60.00859333333333,52111.53972617626
5498,2016-04-22,53,2017,1,C,73.9706399739584,10272.097142410346,9655.455249078614,60.00859333333333,52111.53972617626
5499,2016-04-23,54,2017,1,C,73.9706399739584,10272.097142410346,9655.455249078614,60.00859333333333,52111.53972617626
5500,2016-04-24,55,2017,1,C,73.9706399739584,10272.097142410346,9655.455249078614,60.00859333333333,52111.53972617626
5501,2016-04-25,56,2017,1,C,187.24930664062535,10272.097142196213,9635.811009495279,60.00859333333333,52111.53972617626
5502,2016-04-26,57,2017,1,C,187.24930664062535,10333.17034011288,9609.990176161946,60.00859333333333,52111.53972617626
5503,2016-04-27,58,2017,1,C,65.6599069010416,10945.083987248292,9428.291568161947,60.00859333333333,52111.53972617626
5504,2016-04-28,59,2017,1,C,65.6599069010416,11016.46969040148,9250.775482796053,60.00859333333333,52111.53972617626
5505,2016-04-29,60,2017,1,C,68.92657356770826,11016.46969040148,16242.040035530401,60.00859333333333,52111.53972617626
5506,2016-04-30,61,2017,1,C,68.92657356770826,11016.46969040148,16242.040035530401,60.00859333333333,52111.53972617626
5507,2016-05-01,62,2017,1,C,68.92657356770826,11016.973423718548,16242.040035530401,60.00859333333333,52111.53972617626
5508,2016-05-02,63,2017,1,C,280.9691634114587,11016.973423718548,15806.767206754399,52.565333333333335,52111.53972617626
5509,2016-05-03,64,2017,1,C,331.34286979166666,11044.493626843547,15694.429393746532,52.565333333333335,52111.53972617626
5510,2016-05-04,65,2017,1,C,134.53811979166667,12166.287340385214,16035.473595091467,46.828,52111.53972617626
5511,2016-05-05,66,2017,1,C,148.8889609375,12178.176673718546,15554.720108112266,46.828,52111.53972617626
5512,2016-05-06,67,2017,1,C,148.8889609375,12489.403495654506,15292.287014362266,46.828,52111.53972617626
5513,2016-05-07,68,2017,1,C,148.8889609375,12489.403495654506,15292.287014362266,46.828,52111.53972617626
5514,2016-05-08,69,2017,1,C,148.8889609375,12489.403495654506,15277.212694362268,46.828,52111.53972617626
5515,2016-05-09,70,2017,1,C,148.8889609375,12489.403495654506,14344.8737477476,46.828,52111.53972617626
5516,2016-05-10,71,2017,1,C,138.179640625,12501.947495654505,14350.5057347268,46.828,52111.53972617626
5517,2016-05-11,72,2017,1,C,132.44230729166668,12502.637318760573,14553.047818060133,46.828,52111.53972617626
5518,2016-05-12,73,2017,1,C,132.44230729166668,13030.44702910008,14240.363917018532,46.828,52111.53972617626
5519,2016-05-13,74,2017,1,C,137.40378710937466,15227.003687769067,12777.916887721613,46.828,52111.53972617626
5520,2016-05-14,75,2017,1,C,137.40378710937466,15227.003687769067,12777.916887721613,46.828,52111.53972617626
5521,2016-05-15,76,2017,1,C,137.40378710937466,15280.722354435735,12778.066221054947,46.828,52111.53972617626
5522,2016-05-16,77,2017,1,C,133.40378710937466,15350.655687769067,12605.312489284106,46.828,52111.53972617626
5523,2016-05-17,78,2017,1,C,133.40378710937466,16364.309942711068,12588.22883563828,46.828,52111.53972617626
5524,2016-05-18,79,2017,1,C,133.40378710937466,17166.641174927336,12475.27596148412,46.828,52111.53972617626
5525,2016-05-19,80,2017,1,C,134.15045377604133,17280.680815551732,12372.413225562239,13.494666666666667,52111.53972617626
5526,2016-05-20,81,2017,1,C,134.15045377604133,17273.310148885066,12296.611251603907,13.494666666666667,52111.53972617626
5527,2016-05-21,82,2017,1,C,134.15045377604133,17273.310148885066,12296.611251603907,13.494666666666667,52111.53972617626
5528,2016-05-22,83,2017,1,C,134.15045377604133,17315.168815551733,12265.15617053724,13.494666666666667,52111.53972617626
5529,2016-05-23,84,2017,1,C,134.15045377604133,18876.4760865556,12077.390339122652,13.494666666666667,52111.53972617626
5530,2016-05-24,85,2017,1,C,113.91526757812505,20852.657899211066,10889.61049758724,13.494666666666667,52111.53972617626
5531,2016-05-25,86,2017,1,C,113.91526757812505,21005.465277915333,10840.51449758724,13.494666666666667,52111.53972617626
5532,2016-05-26,87,2017,1,C,113.1686009114584,20980.845303956932,14843.074164253865,13.494666666666667,52111.53972617626
5533,2016-05-27,88,2017,1,C,69.52708007812507,36537.26385244787,2889.3240359986935,13.494666666666667,52111.53972617626
5534,2016-05-28,89,2017,1,C,60.02657356770827,36565.669185781204,1797.5734520143199,13.494666666666667,52111.53972617626
5535,2016-05-29,90,2017,1,C,60.02657356770827,40363.05857966147,1584.4539214778667,13.494666666666667,52111.53972617626
5538,2016-03-01,1,2017,1,O,12639.977171312827,43.271621723617734,17658.081613977334,21888.569016182933,57600.7249312304
5539,2016-03-02,2,2017,1,O,12441.145243807068,269.5455506740733,18970.581920074266,22019.734603490535,57600.7249312304
5540,2016-03-03,3,2017,1,O,13284.407021276866,382.9505903744187,18890.097547077068,20151.724564638,57600.7249312304
5541,2016-03-04,4,2017,1,O,13388.653062238265,441.9202560170613,18216.094998847733,19904.0660066016,57600.7249312304
5542,2016-03-05,5,2017,1,O,13490.3923955716,448.7764560170614,18247.197649450132,19407.377529292535,57600.7249312304
5543,2016-03-06,6,2017,1,O,13492.131369151333,467.422534453208,18247.197649450132,19397.838529292534,57600.7249312304
5544,2016-03-07,7,2017,1,O,13401.468179211333,571.373003465052,18308.850268198665,19799.2561232856,57600.7249312304
5545,2016-03-08,8,2017,1,O,12876.708157804427,622.7927532921774,17945.958453858668,19819.308345996935,57600.7249312304
5546,2016-03-09,9,2017,1,O,11917.07072072268,774.828273268292,18558.898501069467,18656.242370275333,57600.7249312304
5547,2016-03-10,10,2017,1,O,11226.055594436013,1010.1980682421266,18777.907598562935,18658.909577620798,57600.7249312304
5548,2016-03-11,11,2017,1,O,11386.77734686636,1256.9501469167374,18367.725483894934,18713.630042650533,57600.7249312304
5549,2016-03-12,12,2017,1,O,11375.106947126773,1256.950146916736,18254.188946873335,18837.708030931735,57600.7249312304
5550,2016-03-13,13,2017,1,O,11431.002947126774,1351.0845601434,18149.860041289867,18907.518858500665,57600.7249312304
5551,2016-03-14,14,2017,1,O,11207.420075591,1742.43036928388,18290.116603730934,18841.8216395632,57600.7249312304
5552,2016-03-15,15,2017,1,O,11065.379313150013,2081.3617613831334,18361.498345861597,18956.103999438266,57600.7249312304
5553,2016-03-16,16,2017,1,O,11161.51801838336,2360.9851903980666,19172.498994903333,18584.661671588266,57600.7249312304
5554,2016-03-17,17,2017,1,O,11797.584739262,2509.3178911277864,19684.962087644268,18666.3812286396,57600.7249312304
5555,2016-03-18,18,2017,1,O,11598.434739262,2781.078605932307,19794.903770660934,18250.410030172,57600.7249312304
5556,2016-03-19,19,2017,1,O,11598.434739262,2781.078605932307,19794.903770660934,18216.341932584666,57600.7249312304
5557,2016-03-20,20,2017,1,O,8390.355227175214,2807.1823690584934,23227.137854757864,18098.739400867733,57600.7249312304
